name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
Sigma(1910)+,23224,+,1910.0,40.0,220.0,80.0,0,3738,1910.1140605218,0.005971755068060545,2^1 · 3^1 · 623,623,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1915)-,13116,-,1915.0,17.5,120.0,40.0,0,3748,1915.2240499828,0.011699738005216575,2^2 · 3^0 · 937,937,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1915)0,13216,0,1915.0,17.5,120.0,40.0,0,3748,1915.2240499828,0.011699738005216575,2^2 · 3^0 · 937,937,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(1915)+,13226,+,1915.0,17.5,120.0,40.0,0,3748,1915.2240499828,0.011699738005216575,2^2 · 3^0 · 937,937,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(2030)-,3118,-,2029.9999999999998,7.5,180.0,20.0,0,3973,2030.1988128552998,0.009793736714288074,3973,3973,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(2030)0,3218,0,2029.9999999999998,7.5,180.0,20.0,0,3973,2030.1988128552998,0.009793736714288074,3973,3973,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Sigma(2030)+,3228,+,2029.9999999999998,7.5,180.0,20.0,0,3973,2030.1988128552998,0.009793736714288074,3973,3973,False,u|d|s,1,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi0,3322,0,1314.86,0.2,2.27e-12,7e-14,1,2573,1314.8002883153,0.004541296008700942,2573,2573,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi-,3312,-,1321.71,0.06999999999999999,4.02e-12,4e-14,1,2587,1321.9542735607,0.01848163066783687,2587,2587,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1530)-,3314,-,1535.0,0.6,9.9,1.7,0,3004,1535.0408340843999,0.0026602009381026573,2^2 · 3^0 · 751,751,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1530)0,3324,0,1531.8,0.32,9.1,0.5,0,2998,1531.9748404077998,0.011414049340633258,2^1 · 3^0 · 1499,1499,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1690)-,203312,-,1690.0,10.0,20.0,15.0,0,3307,1689.8735147527,0.007484334159764771,3307,3307,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1690)0,203322,0,1690.0,10.0,20.0,15.0,0,3307,1689.8735147527,0.007484334159764771,3307,3307,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1820)-,13314,-,1823.0,5.0,24.0,15.0,0,3568,1823.2442396847998,0.013397678815130142,2^4 · 3^0 · 223,223,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1820)0,13324,0,1823.0,5.0,24.0,15.0,0,3568,1823.2442396847998,0.013397678815130142,2^4 · 3^0 · 223,223,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1950)-,103316,-,1950.0,15.0,60.0,20.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(1950)0,103326,0,1950.0,15.0,60.0,20.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(2030)-,203316,-,2025.0,5.0,20.0,15.0,0,3963,2025.0888233942999,0.004386340459253309,2^0 · 3^1 · 1321,1321,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Xi(2030)0,203326,0,2025.0,5.0,20.0,15.0,0,3963,2025.0888233942999,0.004386340459253309,2^0 · 3^1 · 1321,1321,False,u|s|s,0.5,0.5,1,,Octeto/Decuplete,baryon_octet,BARYON
Omega-,3334,-,1672.45,0.29,8.02e-12,1e-13,1,3273,1672.4995505852999,0.002962754360358286,2^0 · 3^1 · 1091,1091,False,s|s|s,0,1.5,1,,Decuplete,baryon_decuplet,BARYON
Omega(2250)-,203338,-,2252.0,9.0,55.0,18.0,0,4407,2251.9723554627,0.0012275549422801034,2^0 · 3^1 · 1469,1469,False,s|s|s,0,1.5,1,,Decuplete,baryon_decuplet,BARYON
Lambda(c)+,4122,+,2286.46,0.13999999999999999,3.248e-09,1.5e-11,1,4474,2286.2092848514,0.010965210351381307,2^1 · 3^0 · 2237,2237,False,u|d|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Lambda(c)(2595)+,14122,+,2592.25,0.27999999999999997,2.6,0.6,0,5073,2592.2976535652997,0.00183830900953601,2^0 · 3^1 · 1691,1691,False,u|d|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Lambda(c)(2625)+,104122,+,2628.0,0.15,0.0,0.0,1,5143,2628.0675797923,0.002571529387365539,5143,5143,False,u|d|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Lambda(c)(2880)+,204126,+,2881.63,0.24000000000000002,5.6,0.8,0,5639,2881.5230570578997,0.00371119616676782,5639,5639,False,u|d|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2455)0,4112,0,2453.75,0.13999999999999999,1.83,0.11,0,4802,2453.8169391722,0.002728035545589774,2^1 · 3^0 · 2401,2401,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2455)+,4212,+,2452.65,0.19,2.3,0.4,0,4800,2452.79494128,0.005909578619035918,2^6 · 3^1 · 25,25,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2455)++,4222,++,2453.97,0.13999999999999999,1.89,0.09000000000000001,0,4802,2453.8169391722,0.0062372737971487366,2^1 · 3^0 · 2401,2401,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2520)0,4114,0,2518.48,0.21000000000000002,15.299999999999999,0.4,0,4929,2518.7138053269,0.00928358878768078,2^0 · 3^1 · 1643,1643,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2520)+,4214,+,2517.3999999999996,0.6,17.2,4.0,0,4926,2517.1808084885997,0.008707059323107691,2^1 · 3^1 · 821,821,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Sigma(c)(2520)++,4224,++,2518.41,0.22,14.78,0.3,0,4928,2518.2028063807998,0.008227159962043417,2^6 · 3^0 · 77,77,False,u|d|c,1,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)+,4232,+,2467.79,0.15,1.453e-09,1.6e-11,1,4829,2467.6139107168997,0.00713550517265578,4829,4829,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)0,4132,0,2470.5,0.25,4.39e-09,5e-11,1,4835,2470.6799043935,0.0072821045739640804,4835,4835,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)'+,4322,+,2578.3,0.4,0.0,0.0,1,5046,2578.5006820206,0.007783501555278393,2^1 · 3^1 · 841,841,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)'0,4312,0,2578.8,0.5,0.0,0.0,1,5047,2579.0116809666997,0.008208506541784252,5047,5047,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2645)0,4314,0,2646.2400000000002,0.18000000000000002,2.35,0.22,0,5179,2646.4635418518997,0.00844752750693159,5179,5179,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2645)+,4324,+,2645.1699999999996,0.27,2.14,0.19,0,5176,2644.9305450136,0.009052536751882797,2^3 · 3^0 · 647,647,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2790)0,104314,0,2794.0,0.5,10.0,1.1,0,5468,2794.1422372747998,0.005090811553319765,2^2 · 3^0 · 1367,1367,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2790)+,104324,+,2792.0,0.5,8.9,1.0,0,5464,2792.0982414903997,0.003518678022911421,2^3 · 3^0 · 683,683,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2815)0,104312,0,2819.8500000000004,0.27,2.54,0.25,0,5518,2819.6921845797997,0.0055965891873921364,2^1 · 3^0 · 2759,2759,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Xi(c)(2815)+,104322,+,2816.6000000000004,0.16,2.15,0.15,0,5512,2816.6261909031996,0.0009298765603643325,2^3 · 3^0 · 689,689,False,u|s|c,0.5,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Omega(c)0,4332,0,2695.3,0.4,2.41e-09,9e-11,1,5275,2695.5194406775,0.008141604923375255,5275,5275,False,s|s|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Omega(c)(2770)0,4334,0,2766.0,0.95,0.0,0.0,1,5413,2766.0372952393,0.001348345600143349,5413,5413,False,s|s|c,0,0.5,1,,Ground/Excited,charmed_baryon,CHARMED_BARYON
Lambda(b)0,5122,0,5619.570000000001,0.16,4.493e-10,2.8e-12,1,10997,5619.455410261699,0.0020391193329955806,10997,10997,False,u|d|b,0,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Sigma(b)-,5112,-,5815.64,0.27,5.3,0.5,0,11381,5815.6790055640995,0.0006707011455174399,11381,11381,False,u|d|b,1,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
